รหัสบัญชี,ชื่อบัญชี,ชื่ออังกฤษ,ประเภทบัญชี,หมวดย่อย,คำอธิบาย
1210,วัสดุสิ้นเปลืองคงเหลือ,Supplies on Hand,สินทรัพย์,121,ถังอากาศ/ตะกั่วสำรองที่ยังไม่เบิกใช้
1410,ค่าใช้จ่ายจ่ายล่วงหน้า,Prepaid Expenses,สินทรัพย์,141,ค่าประกันเรือจ่ายล่วงหน้า
2140,เงินเดือนค้างจ่าย,Accrued Salaries,หนี้สิน,214,เงินเดือนงวดสิ้นเดือนที่ยังไม่จ่าย
4050,รายได้ค่าธรรมเนียมยกเลิก,Cancellation Fee Income,รายได้,405,ค่าธรรมเนียมยกเลิกทริป
4910,ดอกเบี้ยรับ,Interest Income,รายได้,491,ซ้ำกับบัญชีระบบที่มีอยู่แล้ว
5320,ของเสียจากการเก็บรักษา,Inventory Shrinkage,ต้นทุนขาย,532,สินค้าเสียหายระหว่างเก็บ
6110,ค่าเช่าโกดังเก็บอุปกรณ์,Warehouse Rent,ค่าใช้จ่าย,611,โกดังเก็บอุปกรณ์ดำน้ำ
6220,ค่าอินเทอร์เน็ตเรือ,Boat Internet,ค่าใช้จ่าย,622,สตาร์ลิงก์บนเรือ
6410,ค่าซ่อมบำรุงเรือ,Boat Maintenance,ค่าใช้จ่าย,650,รหัสอยู่นอกช่วงของหมวดย่อยที่ระบุ
6910,ค่าใช้จ่ายเบ็ดเตล็ด,Miscellaneous,ค่าใช้จ่าย,691,รายจ่ายย่อยที่ไม่เข้าหมวดอื่น
