วันที่,เวลา,รายละเอียด,เลขที่อ้างอิง,ถอนเงิน,ฝากเงิน,คงเหลือ,ช่องทาง
01/09/2569,10:00,"รับชำระเงิน IV-2026-09-0018",RV-2026-09-0004,,"27,000.00","797,550.00",K-Cyber
04/09/2569,10:00,"จ่ายชำระเงิน EX-2026-08-0003",PY-2026-09-0001,"21,000.00",,"776,550.00",K-Cyber
08/09/2569,10:00,"รับชำระเงิน IV-2026-09-0019",RV-2026-09-0005,,"39,500.00","816,050.00",K-Cyber
10/09/2569,10:00,"เติมเงินสำรองจ่ายประจำเดือน JV-2026-09-0002",JV-2026-09-0002,"10,000.00",,"806,050.00",K-Cyber
12/09/2569,10:00,"จ่ายชำระเงิน PC-2026-08-0002",PY-2026-09-0002,"20,000.00",,"786,050.00",K-Cyber
14/09/2569,10:00,"เบิกชดเชยค่าอาหารว่างประชุม JV-2026-09-0003",JV-2026-09-0003,"500.00",,"785,550.00",K-Cyber
15/09/2569,10:00,"รับชำระเงิน IV-2026-09-0020",RV-2026-09-0006,,"24,000.00","809,550.00",K-Cyber
19/09/2569,10:00,"รับชำระเงิน IV-2026-09-0015",RV-2026-09-0001,,"62,250.00","871,800.00",K-Cyber
24/09/2569,10:00,"รับชำระเงิน IV-2026-09-0016",RV-2026-09-0002,,"30,000.00","901,800.00",K-Cyber
28/09/2569,10:00,"ค่าธรรมเนียมธนาคาร",FEE,"250.00",,"901,550.00",K-Cyber
30/09/2569,10:00,"ดอกเบี้ยรับ",INT,,"12.35","901,562.35",K-Cyber
